为重	4
极为重要	2
组成	20
组成部分	14
生产	82
劳动	21
宗教	53
巫术	23
活动	72
可分	4
密不可分	1
殷周	1
并同	2
各个方面	3
发生	48
广泛	23
联系	74
乐器	6
发明	9
使用	13
现存	7
甲骨	1
金文	1
保留	5
名字	1
春秋	12
战国	6
春秋战国	4
更	174
加	43
史书	10
很多	5
晋	2
缺	6
赵宣子	1
复	12
书	75
戒	1
之用	2
休	2
董	2
威	6
劝之以	1
九歌	3
勿	2
坏	1
九	4
徒	2
皆	29
谓之	4
歌唱	7
颂九功	1
之德	3
公子	2
吴公子	1
季札	3
观乐	2
故事	32
地位	51
周礼	3
周代	3
根本	51
制度	6
礼仪	3
必须	73
密切	28
配合	8
密切配合	1
六	9
律	8
五声	10
八音	1
合	15
乐	70
鬼神	7
示	2
邦国	1
以谐	2
万民	1
以安	1
宾客	1
远人	1
以作	1
动物	51
祭祀	5
典	1
仪	4
礼制	3
服务	18
变	10
天神	3
降	1
可得	2
礼矣	3
地示	1
若乐九变	1
鬼	8
诸子	3
有论	1
乐者	2
孔子	32
兴	5
立于	1
礼	5
成于乐	1
赞美	4
韶	1
尽善	1
听	7
三月	1
不知	16
三月不知肉味	1
图	42
斯也	1
孟子	11
与仁	1
义	33
实	12
二者	9
乐则	2
生矣	1
老子	16
反对	14
世俗	13
五音	1
崇尚	6
音	24
稀	1
声	27
庄子	44
提倡	15
天乐	2
荀子	7
礼乐	1
并论	1
恭敬	1
礼也	1
调和	5
乐也	1
先秦时代	2
极高	2
上到	1
从上到下	1
关注	43
重视	43
主要	90
十分	47
原始时代	4
诗与乐	1
一体	18
并未	9
分开	3
西周	3
诗经	25
唱	2
顾炎武	1
歌者	1
击者	1
拊	1
吹者	1
为器	1
百篇	2
之音	1
为乐	2
诗三	1
时	164
我国	48
一是	8
楚辞	10
屈原	10
离骚	3
典型	31
学界	4
公论	1
认识	87
一致	16
过去	19
流行	16
说法	14
现实	178
主义	496
现实主义	45
之作	9
忠实	12
反映	59
浪漫	29
浪漫主义	19
抒发	4
情思	2
特征	85
言下之意	1
属	6
范畴	13
妥当	2
内容	73
有无	3
实感	2
现实感	1
划分	8
杰作	8
丝毫	6
不弱	1
不弱于	1
是否	36
尺度	13
非	32
写实	16
写意	8
言志	14
为主	18
具备	17
很少	5
情	19
节等	1
因素	55
微	6
大多	30
融入	8
表现	262
中去	6
中去了	1
表达	28
感受	36
情感	38
思绪	2
手段	25
三百	9
一言	4
一言以蔽之	1
无邪	2
思无邪	1
倒	11
过来	12
推论	3
可说	3
全	16
思	14
纯洁	2
中正	2
礼义	2
感情	20
思想感情	5
后世	16
儒家	47
强调	87
伦理	18
的美	4
刺	4
作用	92
毕竟	16
意图	1
着眼	11
立论	2
自我	44
自我表现	3
一面	13
正	32
基本	63
本特	4
基本特征	4
采取	17
唯一	13
终极	6
目的	38
面貌	9
心情	7
影响	131
内心	29
经历	20
观照	15
感想	1
缺少	7
相当	58
君臣	5
百姓	10
或缺	6
不可或缺	6
角度看	6
最为	15
这是	49
有意	23
意思	12
有意思	6
现象	58
决不	9
偶然	10
有着	24
深刻	64
面试	1
两个	43
层面	30
会	109
区分	9
著名	25
哲学	149
学家	55
哲学家	5
张世英	1
先生	23
近年	11
年来	10
近年来	7
围绕	4
论题	3
发表	6
一系	19
一系列	19
论文	8
若朝前	1
新	132
儒学	14
唐君毅	1
四十	5
十年	29
年代	84
四十年	1
十年代	22
四十年代	1
已以	1
相对	55
之别	3
来论	1
西文	2
中西文	2
中西文化	2
之异	2
同意	1
这一	68
观点	28
需要	93
最近	5
企图	2
政治化	2
指责	2
复古	4
有悖	2
爱国	4
国主	4
爱国主义	2
笔者	9
不敢	7
苟同	3
不敢苟同	3
希望	6
同志	17
不要	10
忘	7
党的	1
双百	2
百方	1
方针	4
双百方针	1
再度	1
充当	3
争鸣	7
棍子	1
所谓	57
指人	2
自然界	10
相	53
疏离	2
立	6
态度	49
即人	2
意识	154
自我意识	3
站	16
之外	34
当作	6
纯然	5
外	35
看待	3
相反	32
统一	46
处于	21
之中	42
看成	12
浑然	3
乳交	1
交融	16
水乳交融	1
根基	4
体现	87
下面	4
仅	6
直接	60
作一	3
重	44
科学	103
自然科	11
自然科学	11
相分	1
倾向	62
人与自然	2
关系	134
观察	17
客体	40
对象	78
思考	28
导致	32
随之	7
而来	7
随之而来	1
便是	29
希	4
腊	2
之母	2
米利	2
米利都	2
学派	77
克利	2
利特	1
克利特	1
德谟克利特	1
基本上	6
自然哲学	5
总体	25
把握	52
拉斯	11
毕达哥	2
毕达哥拉斯	2
更趋	1
数学	10
化	48
几何	5
几何学	1
近代	17
西方哲学	6
卡尔	3
笛卡尔	3
培根	5
入手	2
上升	7
学理	10
哲学理论	1
理性	62
派	82
试图	9
背后	5
数理	3
秩序	6
建立	33
物理	8
理学	39
物理学	4
规则	11
宇宙	28
图案	6
引导	19
走向	25
融为	4
融为一体	4
按此	1
人本	5
须臾	4
分离	7
人亦应	1
理想	62
本性	18
生命	105
生存	30
方式	99
戚戚	2
不会	23
重点	19
放在	16
体验	53
契合	6
无间	2
状态	53
精神状态	2
相应	31
追求	51
天道	8
天理	2
实质	19
探求	7
之道	6
生存之道	1
行为	34
中庸	5
天命	1
之谓	2
率性	1
之为	10
之为道	1
人生	72
神性	4
精神性	3
之理	6
道德	52
至诚	1
方能	2
人方能	1
尽性	2
以尽	2
人性	10
参天	1
化育	1
之至	7
之至境	1
境界	62
道家	29
虽有	1
消极	7
但其	1
法	24
贵	11
真	16
主张	36
要求	62
顺应	6
回归	8
回归自然	2
无碍	4
无挂无碍	1
进入	31
至境	5
某种	94
积极	27
极意	2
意义	169
积极意义	1
世俗性	1
对抗	7
基础	66
很难	9
精细	9
规	3
门类	18
齐全	1
难	17
起以	1
没有	127
技术	34
技术化	1
实用	9
实用化	1
水平	29
不见	11
见得	1
不见得	1
低	7
少有	3
严密	4
学科	106
体	27
系	8
定量	1
量化	1
定量化	1
精确化	1
科学性	3
真理	23
必在	1
此基础	2
掌握	15
征服	8
改造	4
一点	34
两	23
一直	11
求得	4
知识	30
首要	4
目标	18
早期	24
焦点	5
不约	2
不约而同	2
本源	3
哲	4
强烈	33
愿望	6
柏拉	8
拉图	8
柏拉图	8
之因	1
归于	9
理念	6
实体	13
多德	7
亚里士	3
亚里士多德	3
更是	31
提出	72
明确提出	6
求知	4
摆脱	17
无知	1
换	7
言	37
获得	55
峰巅	2
于峰巅	1
力量	37
名言	3
堪称	3
例证	12
方人	2
往往	61
认知	9
界定	7
说话	2
当代	59
符号	91
能力	19
规定	13
二是	6
本体	19
本体论	5
核心	12
侧重	6
转到	5
认识论	3
主导	9
对人	1
机制	14
历史	238
进步	19
集中	10
身	15
始终	17
未变	1
本于	2
转向	5
非重	1
金岳霖	1
说过	4
广	3
坚持	20
同一	16
泯除	1
差别	8
个人	42
不二	3
金	5
分为	3
基本模式	1
约略	1
第一	47
不分	2
物	35
过程	84
心理	103
第二	33
无论是	34
内在	40
要旨	1
均	23
落脚	2
落脚点	1
修养	11
地法天	2
天法	2
道法	2
以道	1
讲人	1
法天	3
最终	15
生态	12
人生态度	4
观	29
人生哲学	6
一方	74
张扬	4
天性	7
顺其自然	1
人为	5
强制	5
灭	4
另一方	33
仁义	3
礼知信	1
社会性	4
现实性	6
束缚	7
抽身	1
退步	1
心	38
斋	3
坐忘	1
超越	42
复归	1
真人	5
独	5
天地	26
往来	2
骨子	2
骨子里	2
处处	6
介入	9
其以	1
克已复礼	1
仁学	2
克己	1
严	2
格	12
修身	4
养性	1
修身养性	1
培养	8
孝	3
恭	1
宽	1
信	3
敏	2
惠	2
品德	1
而达于	1
仁	6
全面	18
恢复	4
一整	2
整套	3
一整套	2
宗法	3
等级	4
等级制	1
社会制度	1
行为规范	2
礼节	2
就能	1
有道	2
得以	22
实现	43
方	4
面	8
区别	31
人心	7
不忍	2
人之心	1
要达于	1
思诚	1
尽心	1
诚	4
思诚者	1
之道也	1
君子	10
知其性	2
知天矣	1
存	6
养其性	1
事天也	1
知天	1
事	19
备于	1
反身	1
而诚	1
莫大	3
莫大焉	2
儒道	10
两家	1
究其	2
归宿	3
注重	13
感悟	3
恰成	2
对照	2
概而言之	2
必然	61
体悟	8
决定	31
摹仿	43
感兴	6
既以	1
冷静	6
分析	81
审	2
各代	1
各派	6
美学	77
相同	16
各不相同	3
基本一致	1
然对	1
理解	68
一定	73
如德谟	1
克里	6
里特	3
克里特	2
就说	1
事情	10
作	72
小学	1
学生	4
小学生	1
天鹅	1
黄莺	1
学会	7
唱歌	3
起源	11
格拉	4
拉底	5
苏格拉底	4
身体	13
俯仰	2
屈伸	1
紧张	5
松散	1
姿势	1
形象	238
特质	3
隔	1
三层	2
所用	4
媒介	13
所取	2
审美活动	1
规律	57
总结	17
偏重	6
重于	8
偏重于	4
写实性	2
逼真	7
真性	4
逼真性	2
精确性	2
情态	3
罗马	24
古罗马	7
贺拉斯	5
中到	1
风俗	7
习惯	6
风俗习惯	1
寻找	10
模型	1
以求	7
如实	4
复兴	31
文艺复兴	23
大利	9
意大利	8
画家	35
芬奇	5
达芬奇	5
镜子	6
应当	17
一面镜子	2
转化	15
颜色	1
摄进	1
摆在	3
面前	11
摆在面前	1
物体	1
应该	59
知道	7
假设	5
形态	84
多才多艺	1
能手	2
一位	11
西班牙	5
作家	43
塞万提斯	5
小说	121
愈加	2
妙肖	1
这部	6
必愈见	1
切近	2
迫近	1
准则	4
英国	20
人文	56
人文主义	14
戏剧	50
大师	23
比亚	5
莎士比亚	3
赞成	1
善恶	11
面目	8
本来面目	2
法国	32
十八	6
八世	6
八世纪	6
十八世纪	5
启蒙	9
